time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
10475,35.7005966508,19.8074264772,-27.8099233287,-29.3937682606,-30.5484752074,0.792823137291,0.799683996932,-3.96581482096e-05,173,0.579772951788,1.54039698992e-05,87995.5438956,121404.456104,98.6971031225,9.4116,9.6348,19.0464,186.627077049,186.765529543,186.856876442,186.932374026,4,4.17303883673,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000924238193951,115.155533851,-1.89364227792
10480,35.6982733853,19.8035554278,-27.810715027,-29.3944573137,-30.5490893208,0.792630071635,0.799485780638,-3.96283757404e-05,173,0.57984995374,1.53968121505e-05,87979.4196868,121420.580313,98.7030507719,9.4116,9.6348,19.0464,186.615008123,186.753425715,186.84474956,186.920228083,4,4.17297104921,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000923808729031,115.094534211,-1.89364227699
10485,35.695949136,19.7996853424,-27.8115065258,-29.395146193,-30.5497032792,0.792437148026,0.799287713109,-3.95986421001e-05,173,0.579926919921,1.53896614556e-05,87963.3029685,121436.697032,98.7089883637,9.4116,9.6348,19.0464,186.602942192,186.741324914,186.832625727,186.908085205,4,4.1729032755,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000923379687333,115.03359109,-1.89364227653
10490,35.6936239038,19.7958162201,-27.8122978253,-29.3958348986,-30.5503170828,0.792244366283,0.799089794152,-3.95689472187e-05,173,0.580003850366,1.53825178044e-05,87947.1937333,121452.806267,98.7149159065,9.4116,9.6348,19.0464,186.590879256,186.729227138,186.820504939,186.895945391,4,4.17283551558,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000922951068263,114.97270441,-1.89364227792
10495,35.6912976894,19.7919480599,-27.8130889257,-29.3965234307,-30.5509307317,0.792051726225,0.798892023573,-3.95392910263e-05,173,0.580080745111,1.53753811871e-05,87931.0919737,121468.908026,98.7208334092,9.4116,9.6348,19.0464,186.57881931,186.717132384,186.808387195,186.883808636,4,4.17276776944,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000922522871226,114.911874094,-1.89364227699
10500,35.6889704936,19.7880808612,-27.813879827,-29.3972117894,-30.551544226,0.79185922767,0.798694401178,-3.95096734534e-05,173,0.58015760419,1.53682515938e-05,87914.9976826,121485.002317,98.7267408806,9.4116,9.6348,19.0464,186.566762352,186.705040649,186.79627249,186.871674938,4,4.17270003707,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000922095095627,114.851100064,-1.89364227699
10505,35.6866423172,19.784214623,-27.8146705296,-29.3978999749,-30.5521575658,0.791666870437,0.798496926774,-3.94800944304e-05,173,0.580234427639,1.53611290146e-05,87898.9108525,121501.089148,98.7326383294,9.4116,9.6348,19.0464,186.554708379,186.692951931,186.784160823,186.859544295,4,4.17263231845,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000921667740875,114.790382244,-1.89364227606
10510,35.6843131609,19.7803493443,-27.8154610335,-29.3985879873,-30.5527707513,0.791474654347,0.798299600169,-3.9450553888e-05,173,0.580311215492,1.53540134396e-05,87882.831476,121517.168524,98.7385257643,9.4116,9.6348,19.0464,186.542657389,186.680866227,186.77205219,186.847416704,4,4.17256461357,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000921240806377,114.729720556,-1.89364227513
10515,35.6819830256,19.7764850245,-27.8162513391,-29.3992758269,-30.5533837827,0.791282579217,0.798102421171,-3.94210517569e-05,173,0.580387967785,1.5346904859e-05,87866.7595459,121533.240454,98.7444031942,9.4116,9.6348,19.0464,186.530609379,186.668783534,186.75994659,186.835292162,4,4.17249692242,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000920814291543,114.669114923,-1.89364227606
10520,35.679651912,19.7726216626,-27.8170414463,-29.3999634937,-30.5539966601,0.791090644869,0.797905389588,-3.93915879682e-05,173,0.580464684552,1.5339803263e-05,87850.6950548,121549.304945,98.7502706278,9.4116,9.6348,19.0464,186.518564346,186.65670385,186.747844019,186.823170667,4,4.17242924499,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000920388195783,114.608565269,-1.89364227559
10525,35.677319821,19.7687592578,-27.8178313555,-29.4006509879,-30.5546093835,0.790898851123,0.797708505228,-3.93621624529e-05,173,0.580541365829,1.53327086418e-05,87834.6379954,121565.362005,98.7561280737,9.4116,9.6348,19.0464,186.506522288,186.644627172,186.735744474,186.811052214,4,4.17236158125,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000919962518509,114.548071516,-1.89364227513
10530,35.6749867531,19.7648978091,-27.8186210668,-29.4013383097,-30.5552219532,0.7907071978,0.7975117679,-3.93327751423e-05,173,0.58061801165,1.53256209855e-05,87818.5883605,121581.41164,98.7619755408,9.4116,9.6348,19.0464,186.494483202,186.632553497,186.723647953,186.798936803,4,4.1722939312,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000919537259133,114.48763359,-1.89364227513
10535,35.6726527094,19.7610373158,-27.8194105803,-29.4020254592,-30.5558343693,0.79051568472,0.797315177413,-3.93034259679e-05,173,0.58069462205,1.53185402845e-05,87802.5461426,121597.453857,98.7678130378,9.4116,9.6348,19.0464,186.482447086,186.620482823,186.711554453,186.78682443,4,4.17222629483,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000919112417069,114.427251412,-1.89364227559
10540,35.6703176905,19.757177777,-27.8201998963,-29.4027124365,-30.556446632,0.790324311705,0.797118733576,-3.92741148612e-05,173,0.580771197065,1.53114665289e-05,87786.5113347,121613.488665,98.7736405733,9.4116,9.6348,19.0464,186.470413936,186.608415146,186.699463971,186.774715092,4,4.17215867212,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000918687991731,114.366924907,-1.89364227466
