case_id,parameter,scenario,parameter_value,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
wind_speed_minus10,wind_speed,minus10,2.7,960,37.332615446,31.6057490982,-24.9047538781,-26.7878271682,-28.1623832015,3.07748604132,3.62125441722,-0.00314316980289,173,0.218916915168,0.000132359090948,163558.797964,45841.2020361,54.3566601049,9.4116,9.6348,19.0464,221.482086593,222.050260799,222.433274165,222.753529525,4,4.41461694892,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00794154545691,1034.71053244,-0.296974157915
wind_speed_minus10,wind_speed,minus10,2.7,990,37.338544248,31.5294047975,-24.9237755415,-26.8047180298,-28.1776041785,3.02115151155,3.53003169376,-0.00294150394338,173,0.222843458233,0.000129419037268,162736.579846,46663.420154,54.5212534306,9.4116,9.6348,19.0464,221.257421502,221.798998613,222.163050272,222.46710985,4,4.41319716974,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00776514223606,1011.88748334,-0.296973990044
wind_speed_minus10,wind_speed,minus10,2.7,1020,37.3444503851,31.4539531261,-24.9419837209,-26.8208448905,-28.1921218293,2.96746606294,3.44458353696,-0.00275790447408,173,0.226682682807,0.000126541251373,161932.64622,47467.3537798,54.6994559217,9.4116,9.6348,19.0464,221.033066605,221.553571447,221.902644853,222.193924968,4,4.41184171732,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00759247508238,989.54346346,-0.29697383201
wind_speed_minus10,wind_speed,minus10,2.7,1050,37.350328962,31.3793270116,-24.9595439958,-26.8363652606,-28.2060818293,2.91621236644,3.36439405466,-0.00259064559665,173,0.230436724557,0.000123742383383,161146.549878,48253.4501222,54.8901687246,9.4116,9.6348,19.0464,220.809407983,221.31302776,221.650142789,221.931233641,4,4.41053715113,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00742454300301,967.808841207,-0.296973680786
wind_speed_minus10,wind_speed,minus10,2.7,1080,37.356175387,31.3054772715,-24.9765818103,-26.8513985017,-28.2195945823,2.86720555986,3.28899766463,-0.00243810465186,173,0.234108120681,0.000121032849183,160377.759529,49022.2404706,55.0922373325,9.4116,9.6348,19.0464,220.586744528,221.07665032,221.404094522,221.676958352,4,4.40927327677,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00726197095096,946.765317144,-0.29697354266
wind_speed_minus10,wind_speed,minus10,2.7,1110,37.3619853906,31.2323674937,-24.9931921431,-26.8660350039,-28.232743701,2.82028568425,3.21797560161,-0.00229878564951,173,0.237699647714,0.000118418423799,159625.693769,49774.3062313,55.3045119518,9.4116,9.6348,19.0464,220.365305781,220.843898039,221.163403275,221.429525728,4,4.40804236962,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00710510542793,926.458349737,-0.296973411227
wind_speed_minus10,wind_speed,minus10,2.7,1140,37.3677550272,31.1599702598,-25.009446888,-26.8803431919,-28.2455924808,2.77531221622,3.15095195744,-0.00217132798393,173,0.241214201858,0.000115901493601,158889.746131,50510.2538691,55.5258854809,9.4116,9.6348,19.0464,220.145266055,220.614361853,220.927239066,221.187744708,4,4.40683858068,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00695408961608,906.906923066,-0.296973287361
wind_speed_minus10,wind_speed,minus10,2.7,1170,37.3734806667,31.0882643883,-25.025400479,-26.8943748673,-28.2581888387,2.73216009351,3.08758961003,-0.00205450587586,173,0.24465471251,0.000113482026187,158169.3032,51230.6967996,55.7553158898,9.4116,9.6348,19.0464,219.926755676,220.38773134,220.69497326,220.950713621,4,4.4056574825,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.0068089215712,888.111114471,-0.296973168617
wind_speed_minus10,wind_speed,minus10,2.7,1200,37.3791589795,31.0172329458,-25.0410941726,-26.9081692771,-28.2705690739,2.69071680361,3.02758625961,-0.00194722228904,173,0.248024081319,0.000111158310904,157463.757372,51936.2426281,55.9918379165,9.4116,9.6348,19.0464,219.709869974,220.163769545,220.466128838,220.717749407,4,4.40449572274,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00666949865421,870.057874278,-0.296973055694
wind_speed_minus10,wind_speed,minus10,2.7,1230,37.3847869174,30.9468618303,-25.0565593013,-26.9217562068,-28.2827607279,2.65088022907,2.9706706979,-0.00184849981982,173,0.251325140601,0.000108927516165,156772.515558,52627.4844419,56.2345676032,9.4116,9.6348,19.0464,219.494676481,219.942294057,220.240342678,220.488333807,4,4.40335076031,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00653565096987,852.725376874,-0.296972948359
