outer_layer_count,outer_thickness_mm,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_outer_surface_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,alpha_skin,q_outer_air_W_m2,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,garment_mass_kg,added_garment_mass_kg,maximum_external_load_kg,external_load_margin_kg,T_outer_1_C,energy_balance_residual_J,T_outer_2_C,T_outer_3_C,T_outer_4_C
1,0.3,7590.0,36.92069170249386,27.048186989915145,-14.441622759216251,-15.48262694330998,-16.2419939737775,1.4563421545649444,1.4744322164083414,0.4035396458100238,122.99637330275013,5.254476500558485,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.2419939737775,-0.12855717376805842,,,
1,0.3,7620.0,36.91536470264984,27.03029528630519,-14.44770766321805,-15.488412357288858,-16.247559217605723,1.4533366955505216,1.4713057252321635,0.40408957800240963,122.96046604483952,5.254168762064269,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.247559217605723,-0.1285571767948568,,,
1,0.3,7650.0,36.91001221764845,27.01244636533353,-14.453777732935434,-15.494183662392413,-16.253110894403584,1.4503507580916055,1.4682001049945046,0.40463749685272155,122.92464838071228,5.253861719894387,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.253110894403584,-0.12855717935599387,,,
1,0.3,7680.0,36.90463434878347,26.994639940614505,-14.459833069773664,-15.499940955150564,-16.258649097021642,1.4473841304720738,1.4651151234813353,0.40518341763702437,122.88891969666741,5.253555369284904,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.258649097021642,-0.12855717819184065,,,
1,0.3,7710.0,36.89923119707958,26.9768757284258,-14.465873774170172,-15.505684331171054,-16.264173917423197,1.444436604102874,1.4620505519989468,0.4057273554669577,122.85327938489583,5.253249705516733,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.264173917423197,-0.12855717982165515,,,
1,0.3,7740.0,36.89380286329171,26.959153447674677,-14.471899945607243,-15.511413885151537,-16.269685446695917,1.44150797346374,1.4590061653065498,0.40626932529206805,122.81772684340332,5.252944723915054,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.269685446695917,-0.12855717819184065,,,
1,0.3,7770.0,36.88834944790444,26.94147281986475,-14.477911682624482,-15.517129710891464,-16.275183775063297,1.4385980360462185,1.4559817415504355,0.40680934190209883,122.782261475934,5.252640419848735,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.275183775063297,-0.12855717819184065,,,
1,0.3,7800.0,36.88287105113129,26.92383356906333,-14.483909082831051,-15.522831901303762,-16.28066899189591,1.4357065922979781,1.4529770621996512,0.4073474199292395,122.7468826918957,5.2523367887297665,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.28066899189591,-0.1285571816843003,,,
1,0.3,7830.0,36.87736777291424,26.906235421869287,-14.489892242917714,-15.528520548426348,-16.286141185722453,1.4328334455683567,1.4499919119831535,0.407883573850335,122.71158990628632,5.2520338260127115,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.286141185722453,-0.12855718052014709,,,
1,0.3,7860.0,36.87183971292313,26.88867810738143,-14.495861258668684,-15.53419574343339,-16.29160044424063,1.4299784020551198,1.4470260788283977,0.4084178179890563,122.6763825396214,5.25173152719415,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.29160044424063,-0.12855718261562288,,,
1,0.3,7890.0,36.86628697055518,26.871161357167434,-14.501816224973261,-15.539857576646428,-16.297046854327824,1.4271412707524038,1.4440793538013252,0.40895016651803184,122.64126001786319,5.2514298878121535,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.297046854327824,-0.1285571821499616,,,
1,0.3,7920.0,36.860709644934424,26.85368490523324,-14.50775723583726,-15.545506137545296,-16.30248050205161,1.424321863399803,1.4411515310477088,0.40948063346094266,122.60622177235065,5.251128903445745,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.30248050205161,-0.1285571821499616,,,
1,0.3,7950.0,36.855107834911344,26.83624848799297,-14.513684384394287,-15.551141514778836,-16.307901472680083,1.4215199944325791,1.4382424077358285,0.41000923269457945,122.57126723973067,5.250828569714389,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.307901472680083,-0.12855718354694545,,,
1,0.3,7980.0,36.84948163906236,26.818851844239333,-14.519597762916781,-15.556763796175465,-16.31330985069203,1.4187354809329618,1.435351784000431,0.4105359779508657,122.5363958618906,5.250528882277475,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.31330985069203,-0.12855718238279223,,,
1,0.3,8010.0,36.84383115568948,26.801494715114465,-14.525497462826912,-15.56237306875355,-16.318705719786905,1.4159681425825072,1.432479462887948,0.4110608828188439,122.50160708589156,5.250229836833822,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.318705719786905,-0.12855718494392931,,,
1,0.3,8040.0,36.83815648281987,26.784176844081273,-14.531383574707267,-15.567969418731632,-16.324089162894644,1.413217801615496,1.429625250302936,0.4115839607466276,122.46690036390336,5.249931429121174,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.324089162894644,-0.1285571858752519,,,
1,0.3,8070.0,36.83245771820552,26.76689797689526,-14.537256188311392,-15.573552931538432,-16.32946026218535,1.4104842827733441,1.4267889549557071,0.4121052250433215,122.43227515314011,5.24963365491573,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.32946026218535,-0.12855718564242125,,,
1,0.3,8100.0,36.826734959322884,26.749657861576722,-14.543115392574133,-15.579123691822751,-16.33481909907879,1.4077674132599867,1.4239703883111186,0.4126246888809063,122.39773091579669,5.2493365100316485,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.33481909907879,-0.1285571858752519,,,
1,0.3,8130.0,36.820988303372616,26.732456248383443,-14.548961275621824,-15.58468178346317,-16.340165754253725,1.4050670226982305,1.421169364538494,0.41314236529609294,122.3632671189871,5.249039990320593,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.340165754253725,-0.12855718564242125,,,
