time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,skin_blood_flow_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,alpha_dot_1_s,C_core_J_K,C_skin_J_K,G_cs_W_m2K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,mass_redistribution_correction_W,energy_balance_residual_J
55275.0,22.278958886556225,11.18653474759991,-19.85351877989566,-20.631828159166723,-21.199307062858527,0.5140032170183015,0.5148865844790047,0.5148865844790047,-5.106170293081884e-06,173.0,0.7190261515157745,3.142920188235299e-06,58835.92387259681,150564.07612740318,5.878813097749083,65.21028831388448,7.0840000000000005,7.252000000000001,14.336000000000002,91.70414076189857,91.77752217994055,91.83051655442593,91.87787972867592,3.0,4.955875882475712,2400.0,1.0,55802.49057864119,0.00018857521129411793,14.66239523426412,7.300229227929138,-0.13782472256571054
55280.0,22.277618636960632,11.18532365963791,-19.853938431233985,-20.632227949542727,-21.199692363820706,0.5139778239394814,0.5148610555901805,0.5148610555901805,-5.105385264156269e-06,173.0,0.7190418652732679,3.142582816498693e-06,58832.63341177771,150567.3665882223,5.8787834076513805,65.20919966545956,7.0840000000000005,7.252000000000001,14.336000000000002,91.70180255666716,91.77518019363208,91.82817184989598,91.87553260347886,3.0,4.955850490879409,2400.0,1.0,55802.49057864119,0.00018855496898992157,14.659939362502325,7.299360600811759,-0.13782471884042025
55285.0,22.276278465256862,11.184112637851264,-19.85435806094885,-20.632627719412085,-21.200077645090346,0.5139524347568079,0.5148355306260878,0.5148355306260878,-5.104600400462001e-06,173.0,0.7190575773440138,3.142245489359964e-06,58829.343304163514,150570.6566958365,5.87875372211814,65.2081111442123,7.0840000000000005,7.252000000000001,14.336000000000002,91.699464483059,91.7728383390172,91.82582727710651,91.8731856100666,3.0,4.955825100190595,2400.0,1.0,55802.49057864119,0.00018853472936159783,14.657483939391467,7.298492103240536,-0.13782471977174282
55290.0,22.274938371443817,11.182901682238295,-19.854777669040658,-20.633027468775158,-21.20046290666781,0.5139270494694627,0.5148100095859006,0.5148100095859006,-5.103815701953518e-06,173.0,0.7190732877282356,3.1419082068118606e-06,58826.05354970746,150573.94645029254,5.878724041148403,65.20702275013264,7.0840000000000005,7.252000000000001,14.336000000000002,91.69712654107035,91.7704966160913,91.82348283605754,91.87083874843532,3.0,4.955799710409292,2400.0,1.0,55802.49057864119,0.00018851449240871163,14.655028964842945,7.297623735192904,-0.1378247207030654
55295.0,22.273598355520395,11.18169079279733,-19.855197255509808,-20.63342719763232,-21.200848148553433,0.513901668076628,0.514784492468793,0.514784492468793,-5.1030311685839704e-06,173.0,0.7190889964261562,3.141570968846332e-06,58822.76414836289,150577.23585163712,5.878694364741206,65.20593448321046,7.0840000000000005,7.252000000000001,14.336000000000002,91.69478873069741,91.76815502485103,91.82113852674331,91.86849201858138,3.0,4.955774321535525,2400.0,1.0,55802.49057864119,0.00018849425813077992,14.65257443876445,7.296755496644442,-0.13782471977174282
55300.0,22.2722584174855,11.18047996952669,-19.855616820356698,-20.633826905983938,-21.201233370747556,0.5138762905774863,0.5147589792739395,0.5147589792739395,-5.102246800307796e-06,173.0,0.7191047034379985,3.1412337754561077e-06,58819.47510008312,150580.52489991687,5.878664692895592,65.20484634343572,7.0840000000000005,7.252000000000001,14.336000000000002,91.69245105193644,91.76581356529304,91.81879434915864,91.86614542050107,3.0,4.955748933569318,2400.0,1.0,55802.49057864119,0.00018847402652736646,14.650120361067316,7.295887387572549,-0.13782471977174282
55305.0,22.27091855733802,11.179269212424703,-19.856036363581726,-20.634226593830387,-21.20161857325054,0.5138509169712202,0.5147334700005148,0.5147334700005148,-5.101462597078788e-06,173.0,0.7191204087639852,3.1408966266335126e-06,58816.1864048215,150583.8135951785,5.878635025610599,65.20375833079828,7.0840000000000005,7.252000000000001,14.336000000000002,91.69011350478367,91.76347223741442,91.8164503033018,91.86379895419053,3.0,4.95572354651069,2400.0,1.0,55802.49057864119,0.00018845379759801074,14.647666731660998,7.295019407953666,-0.13782471977174282
55310.0,22.26957877507686,11.17805852148969,-19.8564558851853,-20.634626261172027,-21.20200375606272,0.5138255472570127,0.5147079646476937,0.5147079646476937,-5.1006785588501e-06,173.0,0.719136112404339,3.140559522370469e-06,58812.89806253142,150587.10193746857,5.878605362885268,65.20267044528809,7.0840000000000005,7.252000000000001,14.336000000000002,91.68777608923533,91.76113104120925,91.81410638916937,91.86145261964609,3.0,4.955698160359667,2400.0,1.0,55802.49057864119,0.00018843357134222814,14.645213550453104,7.294151557763319,-0.13782471977174282
55315.0,22.26823907070091,11.176847896719979,-19.85687538516782,-20.635025908009233,-21.202388919184443,0.5138001814340466,0.5146824632146514,0.5146824632146514,-5.0998946855768084e-06,173.0,0.7191518143592831,3.140222462660083e-06,58809.61007316612,150590.3899268339,5.8785757047186395,65.20158268689507,7.0840000000000005,7.252000000000001,14.336000000000002,91.68543880528765,91.75878997667508,91.81176260675615,91.85910641686402,3.0,4.9556727751162715,2400.0,1.0,55802.49057864119,0.00018841334775960498,14.642760817356757,7.2932838369797794,-0.13782471977174282
55320.0,22.266899444209066,11.17563733811389,-19.857294863529685,-20.635425534342374,-21.20277406261606,0.5137748195015056,0.5146569657005631,0.5146569657005631,-5.099110977210782e-06,173.0,0.7191675146290398,3.1398854474934645e-06,58806.32243667906,150593.67756332093,5.878546051109755,65.20049505560905,7.0840000000000005,7.252000000000001,14.336000000000002,91.68310165293686,91.75644904380852,91.80941895605928,91.85676034584057,3.0,4.955647390780526,2400.0,1.0,55802.49057864119,0.00018839312684960788,14.640308532275792,7.292416245576673,-0.13782471977174282
55325.0,22.265559895600223,11.17442684566975,-19.8577143202713,-20.635825140171825,-21.20315918635791,0.5137494614585728,0.5146314721046045,0.5146314721046045,-5.098327433709025e-06,173.0,0.7191832132138323,3.139548476864887e-06,58803.03515302352,150596.96484697648,5.878516402057655,65.19940755142004,7.0840000000000005,7.252000000000001,14.336000000000002,91.68076463217922,91.75410824260538,91.807075437073,91.85441440657203,3.0,4.955622007352454,2400.0,1.0,55802.49057864119,0.0001883729086118932,14.637856695128807,7.291548783534987,-0.13782471977174282
55330.0,22.264220424873265,11.173216419385877,-19.858133755393062,-20.636224725497947,-21.20354429041035,0.5137241073044323,0.5146059824259512,0.5146059824259512,-5.097544055022763e-06,173.0,0.7191989101138827,3.139211550765053e-06,58799.748222152964,150600.25177784704,5.878486757561381,65.19832017431784,7.0840000000000005,7.252000000000001,14.336000000000002,91.67842774301093,91.75176757306149,91.80473204979616,91.8520685990546,3.0,4.9555966248320775,2400.0,1.0,55802.49057864119,0.0001883526930459032,14.635405305817764,7.290681450827406,-0.1378247207030654
55335.0,22.26288103202709,11.172006059260601,-19.858553168895373,-20.636624290321112,-21.203929374773715,0.5136987570382681,0.5145804966637796,0.5145804966637796,-5.096760841107075e-06,173.0,0.7192146053294142,3.138874669187031e-06,58796.461644020674,150603.53835597934,5.878457117619976,65.19723292429242,7.0840000000000005,7.252000000000001,14.336000000000002,91.67609098542823,91.7494270351739,91.80238879422359,91.84972292328462,3.0,4.955571243219421,2400.0,1.0,55802.49057864119,0.00018833248015122185,14.63295436425566,7.289814247432115,-0.13782472256571054
55340.0,22.26154171706058,11.17079576529224,-19.85897256077864,-20.637023834641695,-21.20431443944836,0.5136734106592641,0.5145550148172656,0.5145550148172656,-5.095977791916396e-06,173.0,0.7192302988606489,3.138537832123484e-06,58793.17541858011,150606.82458141987,5.87842748223248,65.19614580133364,7.0840000000000005,7.252000000000001,14.336000000000002,91.67375435942738,91.74708662893843,91.80004567035184,91.84737737925826,3.0,4.955545862514508,2400.0,1.0,55802.49057864119,0.00018831226992740903,14.630503870353628,7.288947173326359,-0.13782472349703312
55345.0,22.26020247997263,11.169585537479117,-19.85939193104326,-20.637423358460047,-21.204699484434638,0.5136480681666049,0.5145295368855859,0.5145295368855859,-5.095194907404521e-06,173.0,0.7192459907078096,3.138201039566672e-06,58789.889545784674,150610.11045421532,5.878397851397937,65.19505880543142,7.0840000000000005,7.252000000000001,14.336000000000002,91.67141786500457,91.74474635434963,91.79770267818091,91.84503196697179,3.0,4.9555204827173585,2400.0,1.0,55802.49057864119,0.00018829206237400034,14.628053824020924,7.288080228486446,-0.13782472349703312
55350.0,22.25886332076212,11.16837537581956,-19.859811279689634,-20.637822861776566,-21.205084509732878,0.5136227295594754,0.5145040628679172,0.5145040628679172,-5.094412187524602e-06,173.0,0.7192616808711186,3.1378642915084534e-06,58786.60402558776,150613.39597441224,5.878368225115388,65.19397193657561,7.0840000000000005,7.252000000000001,14.336000000000002,91.66908150215608,91.74240621140709,91.79535981769988,91.84268668642154,3.0,4.955495103827998,2400.0,1.0,55802.49057864119,0.0001882718574905072,14.625604225164942,7.287213412887744,-0.1378247244283557
55355.0,22.25752423942794,11.167165280311886,-19.86023060671817,-20.638222344591597,-21.20546951534344,0.5135973948370602,0.5144785927634363,0.5144785927634363,-5.0936296322317175e-06,173.0,0.7192773693507989,3.1375275879418624e-06,58783.318857942715,150616.6811420573,5.8783386033838765,65.19288519475613,7.0840000000000005,7.252000000000001,14.336000000000002,91.66674527087808,91.74006620010368,91.79301708891161,91.8403415376037,3.0,4.955469725846448,2400.0,1.0,55802.49057864119,0.00018825165527651175,14.62315507369858,7.286346726508368,-0.13782472535967827
55360.0,22.25618523596897,11.16595525095442,-19.860649912129258,-20.63862180690553,-21.205854501266664,0.5135720639985447,0.5144531265713206,0.5144531265713206,-5.0928472414790195e-06,173.0,0.7192930561470723,3.1371909288587367e-06,58780.03404280306,150619.96595719692,5.8783089862024465,65.19179857996285,7.0840000000000005,7.252000000000001,14.336000000000002,91.66440917116685,91.73772632043898,91.79067449180693,91.83799652051462,3.0,4.955444348772733,2400.0,1.0,55802.49057864119,0.0001882314557315242,14.620706369529168,7.285480169323644,-0.13782472629100084
55365.0,22.254846310384096,11.164745287745484,-19.86106919592331,-20.639021248718716,-21.2062394675029,0.5135467370431142,0.5144276642907474,0.5144276642907474,-5.092065015220942e-06,173.0,0.7193087412601615,3.1368543142517027e-06,58776.749580122174,150623.25041987782,5.878279373570139,65.19071209218566,7.0840000000000005,7.252000000000001,14.336000000000002,91.66207320301861,91.73538657240628,91.78833202638639,91.83565163515046,3.0,4.955418972606875,2400.0,1.0,55802.49057864119,0.00018821125885510215,14.618258112567716,7.284613741310731,-0.1378247244283557
55370.0,22.253507462672193,11.163535390683398,-19.861488458100723,-20.639420670031544,-21.206624414052488,0.5135214139699541,0.5144022059208943,0.5144022059208943,-5.091282953411282e-06,173.0,0.719324424690289,3.1365177441129768e-06,58773.46546985348,150626.5345301465,5.878249765486,65.18962573141442,7.0840000000000005,7.252000000000001,14.336000000000002,91.65973736642957,91.73304695600434,91.78598969264195,91.83330688150757,3.0,4.955393597348898,2400.0,1.0,55802.49057864119,0.0001881910646467786,14.615810302723341,7.283747442445838,-0.13782472535967827
55375.0,22.25216869283215,11.162325559766488,-19.861907698661906,-20.639820070844372,-21.207009340915786,0.5134960947782503,0.5143767514609393,0.5143767514609393,-5.0905010560057575e-06,173.0,0.7193401064376768,3.1361812184359564e-06,58770.181711950485,150629.81828804952,5.878220161949073,65.18853949763904,7.0840000000000005,7.252000000000001,14.336000000000002,91.657401661396,91.7307074712273,91.78364749057361,91.83096225958212,3.0,4.955368222998823,2400.0,1.0,55802.49057864119,0.0001881708731061574,14.613362939910685,7.28288127270792,-0.13782472629100084
55380.0,22.25083000086284,11.161115794993071,-19.862326917607255,-20.64021945115757,-21.207394248093138,0.513470779467189,0.5143513009100603,0.5143513009100603,-5.0897193229555965e-06,173.0,0.7193557865025474,3.1358447372112637e-06,58766.89830636658,150633.10169363342,5.8781905629584,65.18745339084938,7.0840000000000005,7.252000000000001,14.336000000000002,91.65506608791408,91.72836811807178,91.78130542017735,91.8286177693704,3.0,4.955342849556675,2400.0,1.0,55802.49057864119,0.00018815068423267583,14.610916024031457,7.282015232069487,-0.13782472722232342
55385.0,22.249491386763147,11.159906096361473,-19.862746114937174,-20.64061881097151,-21.20777913558489,0.5134454680359563,0.5143258542674359,0.5143258542674359,-5.088937754217801e-06,173.0,0.7193714648851229,3.135508300433068e-06,58763.61525305526,150636.38474694474,5.878160968513028,65.18636741103533,7.0840000000000005,7.252000000000001,14.336000000000002,91.65273064598009,91.72602889653446,91.77896348144856,91.82627341086867,3.0,4.955317477022475,2400.0,1.0,55802.49057864119,0.0001881304980259841,14.608469555003914,7.281149320511281,-0.137824728153646
55390.0,22.24815285053194,11.158696463870012,-19.86316529065206,-20.64101815028657,-21.208164003391385,0.5134201604837385,0.5143004115322445,0.5143004115322445,-5.0881563497455235e-06,173.0,0.7193871415856258,3.1351719080931616e-06,58760.332551969965,150639.66744803003,5.878131378612,65.18528155818673,7.0840000000000005,7.252000000000001,14.336000000000002,91.6503953355902,91.7236898066128,91.77662167438207,91.82392918407321,3.0,4.955292105396247,2400.0,1.0,55802.49057864119,0.00018811031448558968,14.606023532735241,7.280283538008532,-0.13782472629100084
55395.0,22.246814392168098,11.15748689751701,-19.863584444752323,-20.64141746910311,-21.208548851512976,0.5133948568097227,0.5142749727036647,0.5142749727036647,-5.087375109491276e-06,173.0,0.719402816604278,3.1348355601829306e-06,58757.050203064195,150642.9497969358,5.878101793254363,65.18419583229347,7.0840000000000005,7.252000000000001,14.336000000000002,91.6480601567407,91.72135084830094,91.77427999897617,91.82158508898023,3.0,4.955266734678014,2400.0,1.0,55802.49057864119,0.00018809013361097582,14.603577957130755,7.279417884535521,-0.13782472535967827
55400.0,22.245476011670497,11.156277397300787,-19.86400357723836,-20.641816767421506,-21.208933679950004,0.5133695570130956,0.5142495377808759,0.5142495377808759,-5.086594033412059e-06,173.0,0.7194184899413016,3.1344992566965216e-06,58753.76820629144,150646.23179370858,5.878072212439159,65.18311023334542,7.0840000000000005,7.252000000000001,14.336000000000002,91.64572510942776,91.71901202159638,91.77193845522567,91.81924112558607,3.0,4.955241364867801,2400.0,1.0,55802.49057864119,0.0001880699554017913,14.601132828108645,7.278552360072949,-0.13782472535967827
55405.0,22.244137709038004,11.155067963219667,-19.864422688110576,-20.64221604524213,-21.209318488702824,0.5133442610930445,0.5142241067630571,0.5142241067630571,-5.085813121459743e-06,173.0,0.7194341615969189,3.1341629976249095e-06,58750.48656160519,150649.51343839482,5.878042636165436,65.1820247613324,7.0840000000000005,7.252000000000001,14.336000000000002,91.64339019364765,91.71667332649534,91.76959704312767,91.8168972938869,3.0,4.955215995965626,2400.0,1.0,55802.49057864119,0.00018804977985749458,14.598688145572323,7.27768696459414,-0.13782472535967827
55410.0,22.242799484269497,11.153858595271968,-19.864841777369374,-20.642615302565353,-21.209703277771776,0.513318969048757,0.5141986796493878,0.5141986796493878,-5.085032373588765e-06,173.0,0.7194498315713518,3.1338267829606437e-06,58747.20526895894,150652.79473104107,5.878013064432238,65.18093941624431,7.0840000000000005,7.252000000000001,14.336000000000002,91.64105540939659,91.71433476299406,91.76725576267705,91.81455359387904,3.0,4.955190627971517,2400.0,1.0,55802.49057864119,0.00018802960697763863,14.596243909432562,7.276821698076088,-0.13782472349703312
